Potential (V),Current (A)
-1.000444905,-2.72788E-09
-1.026967648,-2.4771E-09
-1.070153336,-2.5919E-09
-1.117901134,-1.71789E-09
-1.163359618,-1.84697E-09
-1.216389859,-2.2845E-09
-1.273227829,-1.53023E-09
-1.312624336,-1.69426E-09
-1.36033707,-2.98019E-09
-1.405799366,-2.87449E-09
-1.453538271,-2.5483E-09
-1.504304608,-2.42374E-09
-1.54978596,-1.14417E-09
-1.602786981,-3.38165E-09
-1.652039221,-3.17975E-09
-1.693678542,-5.20497E-09
-1.736846952,-6.38408E-09
-1.771619098,-1.13716E-08
-1.803338996,-1.76861E-08
-1.825954323,-2.47678E-08
-1.840980321,-3.26236E-08
-1.856019657,-3.96577E-08
-1.871038032,-4.79831E-08
-1.878504342,-5.4787E-08
-1.88854073,-5.88503E-08
-1.901017612,-6.81555E-08
-1.916011213,-7.80069E-08
-1.927246886,-8.59824E-08
-1.934720819,-9.23167E-08
-1.945956491,-1.00292E-07
-1.955985257,-1.04825E-07
-1.968502157,-1.11665E-07
-1.98919649,-1.20398E-07
-2.021304101,-1.26166E-07
-2.062924875,-1.29333E-07
-2.10768005,-1.26114E-07
-2.153961265,-1.22235E-07
-2.199488353,-1.18138E-07
-2.245004007,-1.14746E-07
-2.289740635,-1.12669E-07
-2.335994662,-1.10465E-07
-2.381469663,-1.09577E-07
-2.424707438,-1.06483E-07
-2.471691454,-1.05985E-07
-2.517937859,-1.04251E-07
-2.563417941,-1.0305E-07
-2.641461401,-1.02878E-07
-2.688440844,-1.02661E-07
-2.688459138,-1.01534E-07
-2.639225701,-1.00578E-07
-2.593782884,-9.94838E-08
-2.533203332,-9.73553E-08
-2.483955793,-9.72676E-08
-2.442297796,-9.63928E-08
-2.39686599,-9.46203E-08
-2.351402423,-9.48042E-08
-2.30368537,-9.37844E-08
-2.260509592,-9.30592E-08
-2.216944681,-9.29681E-08
-2.169633275,-9.02968E-08
-2.126486971,-8.7756E-08
-2.093976697,-8.34558E-08
-2.06148116,-7.82478E-08
-2.02973958,-7.32689E-08
-2.003325882,-6.68025E-08
-1.984483516,-6.06706E-08
-1.965624635,-5.55561E-08
-1.950556714,-5.02828E-08
-1.935497051,-4.45009E-08
-1.920432305,-3.90319E-08
-1.905354221,-3.43847E-08
-1.890296463,-2.84853E-08
-1.867669807,-2.21014E-08
-1.860168243,-1.74692E-08
-1.845095367,-1.25011E-08
-1.82626092,-5.88143E-09
-1.803653724,1.70114E-09
-1.784833972,9.22599E-09
-1.766004692,1.61639E-08
-1.750963068,2.30571E-08
-1.732136964,3.01907E-08
-1.699666582,3.69482E-08
-1.656477422,3.68491E-08
-1.610914761,3.0561E-08
-1.567646665,2.55994E-08
-1.531214196,2.16567E-08
-1.487226995,1.90712E-08
-1.443999891,1.66347E-08
-1.396217538,1.36321E-08
-1.353010507,1.24321E-08
-1.313214323,1.13125E-08
-1.262823017,1.09534E-08
-1.214294668,8.6703E-09
-1.178681626,8.53142E-09
-1.123747647,8.38087E-09
-1.080171938,7.80677E-09
-1.034694396,6.76197E-09
-1.004397209,7.36974E-09
