"Potential, V","Current, A"
0.2,2.0318e-07
0.199,1.7518e-07
0.198,1.6889e-07
0.197,1.6413e-07
0.196,1.5944e-07
0.195,1.563e-07
0.194,1.5293e-07
0.193,1.4978e-07
0.192,1.4712e-07
0.191,1.4453e-07
0.19,1.4249e-07
0.189,1.4027e-07
0.188,1.37706e-07
0.187,1.36174e-07
0.186,1.33974e-07
0.185,1.31941e-07
0.184,1.30674e-07
0.183,1.28601e-07
0.182,1.27217e-07
0.181,1.25616e-07
0.18,1.23612e-07
0.179,1.2264e-07
0.178,1.21137e-07
0.177,1.1949e-07
0.176,1.1848e-07
0.175,1.1674e-07
0.174,1.157e-07
0.173,1.1432e-07
0.172,1.1271e-07
0.171,1.1203e-07
0.17,1.1072e-07
0.169,1.0932e-07
0.168,1.0836e-07
0.167,1.0703e-07
0.166,1.0604e-07
0.165,1.0525e-07
0.164,1.0376e-07
0.163,1.0332e-07
0.162,1.0213e-07
0.161,1.0091e-07
0.16,1.0011e-07
0.159,9.90202e-08
0.158,9.82102e-08
0.157,9.74402e-08
0.156,9.60702e-08
0.155,9.57002e-08
0.154,9.46602e-08
0.153,9.35102e-08
0.152,9.30002e-08
0.151,9.18402e-08
0.15,9.12702e-08
0.149,9.04602e-08
0.148,8.93202e-08
0.147,8.88402e-08
0.146,8.79702e-08
0.145,8.70702e-08
0.144,8.65702e-08
0.143,8.55102e-08
0.142,8.48602e-08
0.141,8.39502e-08
0.14,8.30602e-08
0.139,8.27902e-08
0.138,8.19602e-08
0.137,8.10402e-08
0.136,8.05902e-08
0.135,7.95902e-08
0.134,7.90202e-08
0.133,7.85702e-08
0.132,7.74002e-08
0.131,7.71902e-08
0.13,7.64702e-08
0.129,7.54702e-08
0.128,7.50302e-08
0.127,7.42202e-08
0.126,7.37802e-08
0.125,7.31902e-08
0.124,7.21502e-08
0.123,7.20102e-08
0.122,7.11702e-08
0.121,7.03202e-08
0.12,7.00402e-08
0.119,6.92602e-08
0.118,6.87202e-08
0.117,6.82802e-08
0.116,6.73602e-08
0.115,6.68802e-08
0.114,6.64902e-08
0.113,6.57602e-08
0.112,6.53502e-08
0.111,6.45702e-08
0.11,6.41602e-08
0.109,6.36302e-08
0.108,6.26402e-08
0.107,6.26002e-08
0.106,6.19802e-08
0.105,6.12602e-08
0.104,6.08802e-08
0.103,6.00802e-08
0.102,5.95402e-08
0.101,5.92302e-08
0.1,5.83802e-08
0.099,5.83802e-08
0.098,5.76202e-08
0.097,5.68502e-08
0.096,5.66102e-08
0.095,5.58502e-08
0.094,5.56002e-08
0.093,5.50602e-08
0.092,5.41602e-08
0.091,5.39702e-08
0.09,5.31702e-08
0.089,5.26602e-08
0.088,5.23002e-08
0.087,5.16502e-08
0.086,5.12902e-08
0.085,5.09002e-08
0.084,4.98502e-08
0.083,4.97302e-08
0.082,4.92002e-08
0.081,4.85402e-08
0.08,4.83802e-08
0.079,4.75002e-08
0.078,4.72402e-08
0.077,4.66602e-08
0.076,4.59202e-08
0.075,4.58102e-08
0.074,4.53702e-08
0.073,4.44802e-08
0.072,4.42802e-08
0.071,4.34802e-08
0.07,4.30702e-08
0.069,4.27202e-08
0.068,4.18202e-08
0.067,4.18102e-08
0.066,4.11302e-08
0.065,4.04702e-08
0.064,3.99702e-08
0.063,3.93302e-08
0.062,3.92302e-08
0.061,3.86602e-08
0.06,3.77802e-08
0.059,3.78602e-08
0.058,3.70002e-08
0.057,3.62902e-08
0.056,3.62602e-08
0.055,3.54602e-08
0.054,3.50802e-08
0.053,3.46702e-08
0.052,3.38202e-08
0.051,3.38102e-08
0.05,3.31702e-08
0.049,3.23002e-08
0.048,3.21502e-08
0.047,3.14102e-08
0.046,3.10302e-08
0.045,3.04502e-08
0.044,2.96802e-08
0.043,2.95802e-08
0.042,2.87802e-08
0.041,2.80802e-08
0.04,2.78802e-08
0.039,2.67802e-08
0.038,2.63802e-08
0.037,2.60802e-08
0.036,2.50802e-08
0.035,2.49802e-08
0.034,2.42802e-08
0.033,2.33802e-08
0.032,2.30802e-08
0.031,2.21802e-08
0.03,2.17802e-08
0.029,2.13802e-08
0.028,2.02802e-08
0.027,1.99802e-08
0.026,1.92802e-08
0.025,1.84802e-08
0.024,1.81928e-08
0.023,1.7336e-08
0.022,1.67793e-08
0.021,1.61225e-08
0.02,1.52658e-08
0.019,1.4909e-08
0.018,1.39523e-08
0.017,1.31955e-08
0.016,1.28388e-08
0.015,1.1682e-08
0.014,1.13252e-08
0.013,1.02685e-08
0.012,9.21172e-09
0.011,8.95497e-09
0.01,8.09821e-09
0.009,6.94145e-09
0.008,6.3847e-09
0.007,5.22794e-09
0.006,4.37118e-09
0.005,3.61443e-09
0.004,2.35767e-09
0.003,1.80091e-09
0.002,7.44158e-10
0.001,-5.12599e-10
0.0,-2.76936e-09
