"Potential, V ( 5mV/s)"	"Current, A ( 5 mV/s)"	"Potential, V ( 10mV/s)"	"Current, A ( 10 mV/s)"	"Potential, V ( 25mV/s)"	"Current, A ( 25 mV/s)"	"Potential, V ( 50mV/s)"	"Current, A ( 50 mV/s)"	"Potential, V ( 100mV/s)"	"Current, A ( 100 mV/s)"	"Potential, V ( 200 mV/s)"	"Current, A ( 200 mV/s)"	"Potential, V ( 400 mV/s)"	"Current, A ( 400 mV/s)"
0.2	7.47E-08	0.2	1.09E-07	0.2	2.03E-07	0.2	3.15E-07	0.2	5.51E-07	0.2	6.44E-07	0.2	1.05E-06
0.199	6.55E-08	0.199	9.39E-08	0.199	1.75E-07	0.199	2.50E-07	0.199	4.46E-07	0.199	5.13E-07	0.199	6.36E-07
0.198	6.21E-08	0.198	8.89E-08	0.198	1.69E-07	0.198	2.33E-07	0.198	4.17E-07	0.198	4.93E-07	0.198	6.00E-07
0.197	5.99E-08	0.197	8.57E-08	0.197	1.64E-07	0.197	2.25E-07	0.197	4.06E-07	0.197	4.81E-07	0.197	5.64E-07
0.196	5.79E-08	0.196	8.31E-08	0.196	1.59E-07	0.196	2.19E-07	0.196	3.95E-07	0.196	4.62E-07	0.196	5.47E-07
0.195	5.61E-08	0.195	8.10E-08	0.195	1.56E-07	0.195	2.14E-07	0.195	3.88E-07	0.195	4.55E-07	0.195	5.26E-07
0.194	5.48E-08	0.194	7.89E-08	0.194	1.53E-07	0.194	2.09E-07	0.194	3.80E-07	0.194	4.47E-07	0.194	5.15E-07
0.193	5.35E-08	0.193	7.70E-08	0.193	1.50E-07	0.193	2.05E-07	0.193	3.74E-07	0.193	4.38E-07	0.193	4.97E-07
0.192	5.24E-08	0.192	7.53E-08	0.192	1.47E-07	0.192	2.00E-07	0.192	3.68E-07	0.192	4.29E-07	0.192	4.95E-07
0.191	5.13E-08	0.191	7.37E-08	0.191	1.45E-07	0.191	1.97E-07	0.191	3.62E-07	0.191	4.21E-07	0.191	4.75E-07
0.19	5.03E-08	0.19	7.24E-08	0.19	1.42E-07	0.19	1.94E-07	0.19	3.58E-07	0.19	4.14E-07	0.19	4.79E-07
0.189	4.92E-08	0.189	7.10E-08	0.189	1.40E-07	0.189	1.90E-07	0.189	3.54E-07	0.189	4.14E-07	0.189	4.55E-07
0.188	4.81E-08	0.188	6.97E-08	0.188	1.38E-07	0.188	1.87E-07	0.188	3.48E-07	0.188	4.01E-07	0.188	4.53E-07
0.187	4.74E-08	0.187	6.86E-08	0.187	1.36E-07	0.187	1.85E-07	0.187	3.45E-07	0.187	3.98E-07	0.187	4.45E-07
0.186	4.66E-08	0.186	6.73E-08	0.186	1.34E-07	0.186	1.81E-07	0.186	3.39E-07	0.186	3.93E-07	0.186	4.37E-07
0.185	4.58E-08	0.185	6.63E-08	0.185	1.32E-07	0.185	1.79E-07	0.185	3.36E-07	0.185	3.88E-07	0.185	4.26E-07
0.184	4.50E-08	0.184	6.54E-08	0.184	1.31E-07	0.184	1.76E-07	0.184	3.32E-07	0.184	3.84E-07	0.184	4.36E-07
0.183	4.42E-08	0.183	6.44E-08	0.183	1.29E-07	0.183	1.74E-07	0.183	3.28E-07	0.183	3.76E-07	0.183	4.18E-07
0.182	4.34E-08	0.182	6.36E-08	0.182	1.27E-07	0.182	1.72E-07	0.182	3.25E-07	0.182	3.73E-07	0.182	4.19E-07
0.181	4.28E-08	0.181	6.25E-08	0.181	1.26E-07	0.181	1.69E-07	0.181	3.22E-07	0.181	3.72E-07	0.181	4.08E-07
0.18	4.19E-08	0.18	6.16E-08	0.18	1.24E-07	0.18	1.67E-07	0.18	3.17E-07	0.18	3.61E-07	0.18	3.97E-07
0.179	4.14E-08	0.179	6.09E-08	0.179	1.23E-07	0.179	1.65E-07	0.179	3.15E-07	0.179	3.59E-07	0.179	4.01E-07
0.178	4.08E-08	0.178	6.00E-08	0.178	1.21E-07	0.178	1.63E-07	0.178	3.11E-07	0.178	3.58E-07	0.178	3.83E-07
0.177	4.01E-08	0.177	5.92E-08	0.177	1.19E-07	0.177	1.61E-07	0.177	3.09E-07	0.177	3.54E-07	0.177	3.87E-07
0.176	3.95E-08	0.176	5.85E-08	0.176	1.18E-07	0.176	1.59E-07	0.176	3.06E-07	0.176	3.49E-07	0.176	3.79E-07
0.175	3.87E-08	0.175	5.76E-08	0.175	1.17E-07	0.175	1.57E-07	0.175	3.02E-07	0.175	3.45E-07	0.175	3.80E-07
0.174	3.82E-08	0.174	5.69E-08	0.174	1.16E-07	0.174	1.56E-07	0.174	3.00E-07	0.174	3.42E-07	0.174	3.72E-07
0.173	3.76E-08	0.173	5.62E-08	0.173	1.14E-07	0.173	1.53E-07	0.173	2.97E-07	0.173	3.40E-07	0.173	3.70E-07
0.172	3.72E-08	0.172	5.54E-08	0.172	1.13E-07	0.172	1.52E-07	0.172	2.93E-07	0.172	3.32E-07	0.172	3.55E-07
0.171	3.69E-08	0.171	5.47E-08	0.171	1.12E-07	0.171	1.50E-07	0.171	2.92E-07	0.171	3.31E-07	0.171	3.63E-07
0.17	3.64E-08	0.17	5.41E-08	0.17	1.11E-07	0.17	1.48E-07	0.17	2.88E-07	0.17	3.29E-07	0.17	3.42E-07
0.169	3.58E-08	0.169	5.35E-08	0.169	1.09E-07	0.169	1.47E-07	0.169	2.86E-07	0.169	3.27E-07	0.169	3.55E-07
0.168	3.54E-08	0.168	5.28E-08	0.168	1.08E-07	0.168	1.45E-07	0.168	2.83E-07	0.168	3.23E-07	0.168	3.47E-07
0.167	3.47E-08	0.167	5.21E-08	0.167	1.07E-07	0.167	1.43E-07	0.167	2.80E-07	0.167	3.16E-07	0.167	3.48E-07
0.166	3.43E-08	0.166	5.16E-08	0.166	1.06E-07	0.166	1.42E-07	0.166	2.78E-07	0.166	3.15E-07	0.166	3.34E-07
0.165	3.39E-08	0.165	5.10E-08	0.165	1.05E-07	0.165	1.40E-07	0.165	2.76E-07	0.165	3.16E-07	0.165	3.38E-07
0.164	3.33E-08	0.164	5.03E-08	0.164	1.04E-07	0.164	1.39E-07	0.164	2.73E-07	0.164	3.07E-07	0.164	3.26E-07
0.163	3.30E-08	0.163	4.99E-08	0.163	1.03E-07	0.163	1.38E-07	0.163	2.72E-07	0.163	3.06E-07	0.163	3.30E-07
